data/BP_videos/5.MOV
Frame number,Hips height,Hips velocity loss,Left ankle height,Right ankle height,Shoulders tilt,Shoulders velocity loss,Step angle,Step duration,Takeoff angle,Torso tilt
-136,,-623.37,,,,-447.14,0.51,0.05,-18.89,
-135,,,,,,,26.77,0.03,,
-134,,,,,,,18.59,0.03,,
-133,,,,,,,-5.03,0.15,,
-132,,,,,,,27.42,0.08,,
-131,,,,,,,13.76,0.03,,
-130,,,,,,,2.78,0.08,,
-129,,,,,,,17.77,0.03,,
-128,,,,,,,4.05,0.17,,
-127,,,,,,,32.06,0.03,,
-126,,,,,,,22.80,0.23,,
-125,,,,,,,14.79,0.05,,
-124,,,,,,,3.03,0.05,,
-123,,,,,,,-21.01,0.15,,
-122,,,,,,,13.81,0.07,,
-121,,,,,,,10.57,0.03,,
-120,,,,,,,4.06,0.18,,
-119,,,,,,,-8.53,0.03,,
-118,,,,,,,,,,
-117,,,,,,,,,,
-116,,,,,,,,,,
-115,,,,,,,,,,
-114,,,,,,,,,,
-113,,,,,,,,,,
-112,,,,,,,,,,
-111,,,,,,,,,,
-110,,,,,,,,,,
-109,,,,,,,,,,
-108,,,,,,,,,,
-107,,,,,,,,,,
-106,,,,,,,,,,
-105,,,,,,,,,,
-104,,,,,,,,,,
-103,,,,,,,,,,
-102,,,,,,,,,,
-101,,,,,,,,,,
-100,,,,,,,,,,
-99,,,,,,,,,,
-98,,,,,,,,,,
-97,,,,,,,,,,
-96,,,,,,,,,,
-95,,,,,,,,,,
-94,,,,,,,,,,
-93,144.89,,65.89,97.49,-9.46,,,,,-12.09
-92,141.46,,97.16,97.16,-9.90,,,,,-7.41
-91,144.81,,60.56,102.66,-7.09,,,,,-10.27
-90,140.71,,56.19,63.87,-0.47,,,,,0.16
-89,140.41,,59.38,97.97,-6.88,,,,,-7.78
-88,142.73,,55.76,109.56,-5.50,,,,,-7.44
-87,137.00,,43.96,100.00,-0.54,,,,,-3.10
-86,137.83,,50.33,107.24,-3.56,,,,,-2.95
-85,129.02,,48.38,98.61,-5.18,,,,,-1.00
-84,133.58,,53.78,95.83,-4.57,,,,,-7.92
-83,139.38,,49.40,88.44,-4.48,,,,,-3.58
-82,135.04,,53.05,91.15,-3.21,,,,,-2.60
-81,132.97,,57.95,87.75,-3.22,,,,,-2.23
-80,138.39,,59.97,83.08,-7.87,,,,,1.47
-79,141.28,,61.12,81.08,-1.52,,,,,2.92
-78,136.70,,64.42,75.84,-1.56,,,,,-4.93
-77,139.00,,65.55,69.61,-3.80,,,,,-7.36
-76,145.75,,77.98,73.33,-5.35,,,,,-0.25
-75,146.85,,81.66,63.04,-9.71,,,,,-4.76
-74,139.88,,87.38,47.51,-8.97,,,,,-7.06
-73,146.05,,93.71,54.96,-8.82,,,,,-7.67
-72,140.47,,88.94,46.15,-5.12,,,,,-7.06
-71,138.98,,95.89,45.23,0.15,,,,,-5.76
-70,132.22,,90.05,43.08,-1.71,,,,,-0.48
-69,136.63,,87.98,32.08,-9.44,,,,,-7.07
-68,134.00,,93.25,44.11,-10.40,,,,,-8.10
-67,123.42,,83.72,40.11,-10.35,,,,,-11.43
-66,134.44,,82.00,44.22,-13.60,,,,,-17.02
-65,135.47,,83.95,48.80,-8.79,,,,,-7.55
-64,135.10,,85.09,50.25,-12.19,,,,,-10.95
-63,136.07,,80.45,55.25,-7.55,,,,,-7.55
-62,134.78,,77.54,47.42,-7.36,,,,,-7.36
-61,143.98,,78.37,60.34,-4.33,,,,,-7.75
-60,137.49,,72.08,58.06,-2.26,,,,,-1.72
-59,140.42,,68.91,71.46,-2.69,,,,,-5.21
-58,137.42,,64.24,77.46,-1.15,,,,,-3.94
-57,139.96,,57.83,88.14,-1.32,,,,,-4.08
-56,144.55,,54.68,93.39,-2.10,,,,,-5.12
-55,144.00,,45.45,94.03,-1.74,,,,,-4.08
-54,142.42,,42.02,93.12,-5.12,,,,,-0.84
-53,145.54,,36.70,44.51,-0.57,,,,,3.25
-52,134.47,,31.73,80.67,-1.21,,,,,-0.84
-51,135.41,,27.09,99.00,-0.53,,,,,-0.11
-50,135.34,,21.90,95.96,-4.54,,,,,-3.40
-49,130.81,,25.27,83.98,1.64,,,,,-1.49
-48,130.16,,24.05,83.15,0.09,,,,,-3.07
-47,139.92,,33.06,79.05,4.86,,,,,-1.48
-46,143.87,,37.81,75.18,0.31,,,,,-3.24
-45,140.51,,40.84,73.78,1.68,,,,,-1.48
-44,136.65,,44.51,68.07,0.71,,,,,3.89
-43,142.37,,46.18,62.62,-2.98,,,,,-6.14
-42,138.72,,62.77,56.24,-1.81,,,,,-1.51
-41,140.36,,64.15,48.98,0.75,,,,,-1.78
-40,144.32,,77.07,46.41,-2.14,,,,,-4.33
-39,144.44,,83.38,39.13,-0.46,,,,,-2.67
-38,140.37,,80.65,31.36,1.09,,,,,1.41
-37,143.83,,87.99,23.79,-0.86,,,,,-0.16
-36,139.09,,87.41,21.52,-2.91,,,,,-4.78
-35,138.04,,88.99,19.83,-10.81,,,,,-8.46
-34,127.94,,79.30,5.74,-9.86,,,,,-13.21
-33,127.66,,80.59,21.00,-7.99,,,,,-9.78
-32,127.49,,71.92,19.35,-10.27,,,,,-8.01
-31,131.53,,69.81,19.09,-9.12,,,,,-7.91
-30,139.71,,71.92,30.04,-4.62,,,,,-8.79
-29,132.90,,64.02,24.50,-8.34,,,,,-7.12
-28,136.13,,63.06,24.59,-5.40,,,,,-7.18
-27,135.38,,60.03,35.72,-8.72,,,,,-10.23
-26,139.64,,52.90,46.80,-9.09,,,,,-11.04
-25,133.98,,46.12,55.75,-5.65,,,,,-4.65
-24,133.90,,37.12,65.09,-6.27,,,,,-5.27
-23,132.45,,26.82,70.87,-9.16,,,,,-7.22
-22,135.30,,23.60,74.65,-5.36,,,,,-7.55
-21,134.43,,11.53,74.64,-6.71,,,,,-8.22
-20,131.77,,88.34,8.69,-4.00,,,,,-0.45
-19,129.15,,2.44,3.14,-3.56,,,,,-5.34
-18,128.55,,5.86,54.30,2.65,,,,,0.22
-17,130.18,,2.89,83.99,-4.17,,,,,-6.01
-16,131.07,,1.85,67.74,3.30,,,,,-2.25
-15,121.76,,-2.20,66.30,-0.88,,,,,-2.93
-14,128.88,,10.80,63.92,-4.93,,,,,-1.39
-13,127.93,,7.77,51.82,0.68,,,,,-1.47
-12,128.28,,14.73,49.73,-2.11,,,,,0.04
-11,132.75,,20.07,43.02,-0.01,,,,,1.77
-10,137.74,,32.76,38.29,-3.47,,,,,-6.29
-9,137.22,,38.24,30.18,-5.42,,,,,-2.08
-8,139.84,,48.44,26.44,-4.52,,,,,-4.52
-7,137.46,,49.53,20.88,-4.37,,,,,-6.42
-6,134.21,,58.94,10.82,-1.80,,,,,-3.90
-5,134.38,,58.51,5.53,-1.42,,,,,-6.69
-4,125.18,,50.72,-2.02,-1.44,,,,,-1.44
-3,123.96,,55.63,-6.71,-2.48,,,,,-6.91
-2,122.38,,42.31,-5.75,-4.93,,,,,-4.25
-1,120.60,,41.63,0.17,-4.91,,,,,-6.61
0,120.38,,32.56,0.00,-7.12,,,,,-6.49
1,126.42,,24.12,6.57,-4.05,,,,,-3.62
2,155.98,,18.37,14.03,55.35,,,,,48.77
3,187.13,,119.25,114.73,0.19,,,,,-2.34
4,163.69,,121.02,121.13,-46.08,,,,,-43.21
5,187.98,,120.69,118.70,-6.45,,,,,-4.40
6,197.04,,125.76,118.58,53.89,,,,,-6.92
7,194.55,,122.73,115.85,48.37,,,,,-7.35
8,131.39,,126.07,119.23,-23.28,,,,,-31.92
9,157.99,,126.41,118.42,-14.00,,,,,-20.78
10,196.19,,118.64,115.00,-1.26,,,,,-3.44
11,134.76,,130.43,130.43,-10.11,,,,,-10.25
