data/BP_videos/15.MOV
Frame number,Hips height,Hips velocity loss,Left ankle height,Right ankle height,Shoulders tilt,Shoulders velocity loss,Step angle,Step duration,Takeoff angle,Torso tilt
-140,182.19,147.30,119.16,127.03,-32.40,60.07,10.09,0.03,-72.35,-31.35
-139,185.17,,120.45,127.42,-22.48,,-23.75,0.07,,-29.39
-138,181.67,,122.46,145.55,-20.81,,35.34,0.12,,-21.26
-137,187.41,,125.37,144.63,-23.00,,8.67,0.12,,-26.81
-136,184.13,,124.77,145.44,-19.85,,-16.21,0.07,,-19.85
-135,185.21,,120.30,141.08,-25.48,,-34.29,0.17,,-25.48
-134,182.71,,123.03,143.45,-19.52,,0.79,0.07,,-23.33
-133,181.21,,115.90,133.40,-15.23,,-26.46,0.03,,-12.05
-132,185.87,,128.19,140.72,-15.80,,30.15,0.08,,-12.62
-131,189.16,,126.36,144.33,-24.69,,19.71,0.13,,-25.14
-130,186.77,,123.26,137.02,-18.79,,4.43,0.03,,-22.60
-129,184.17,,124.04,136.68,-21.38,,-8.38,0.05,,-18.50
-128,186.04,,133.96,135.27,-19.53,,13.36,0.03,,-16.21
-127,186.85,,133.77,134.40,-16.37,,-2.43,0.18,,-17.88
-126,189.07,,136.99,130.94,-13.33,,23.85,0.07,,-16.21
-125,188.80,,140.83,126.61,-19.41,,20.12,0.18,,-13.22
-124,191.23,,144.45,120.49,-17.99,,8.05,0.05,,-15.47
-123,192.30,,151.80,117.41,-14.44,,0.84,0.03,,-13.22
-122,192.16,,146.52,115.61,-19.87,,29.33,0.07,,-24.63
-121,186.64,,148.73,117.64,-14.27,,14.21,0.10,,-11.92
-120,183.48,,149.03,112.47,-12.79,,11.08,0.10,,-11.00
-119,181.24,,149.85,111.60,-10.74,,-7.11,0.12,,-15.50
-118,181.71,,141.49,110.70,-17.39,,13.35,0.05,,-15.04
-117,181.02,,144.59,111.65,-20.98,,5.66,0.08,,-13.36
-116,177.87,,137.50,109.78,-17.38,,-5.11,0.07,,-21.68
-115,179.99,,140.74,109.38,-26.63,,25.63,0.07,,-26.98
-114,181.50,,128.52,110.41,-18.89,,21.07,0.08,,-19.52
-113,179.79,,128.24,111.35,-19.31,,16.00,,,-15.14
-112,183.67,,133.38,113.78,-19.47,,,,,-13.17
-111,183.93,,135.78,113.56,-17.47,,,,,-21.03
-110,187.83,,133.81,118.87,-17.77,,,,,-21.36
-109,187.97,,130.71,121.05,-16.74,,,,,-15.23
-108,189.23,,135.64,130.14,-11.79,,,,,-10.21
-107,186.51,,126.54,130.91,-7.24,,,,,-12.64
-106,188.75,,121.51,135.06,-14.44,,,,,-8.56
-105,190.11,,120.34,146.85,-7.09,,,,,-9.75
-104,187.18,,112.01,143.84,-10.01,,,,,-8.85
-103,193.46,,109.90,150.47,-7.37,,,,,-8.07
-102,186.49,,104.25,146.38,-0.63,,,,,-8.27
-101,186.87,,101.88,101.88,-11.33,,,,,-8.84
-100,182.58,,103.86,135.87,-3.40,,,,,-7.76
-99,186.95,,100.51,154.47,-7.20,,,,,-4.03
-98,183.07,,96.27,143.54,-8.06,,,,,-9.97
-97,176.47,,94.18,147.32,-1.37,,,,,-5.22
-96,174.79,,95.26,144.33,-7.56,,,,,-2.59
