data/BP_videos/6.MOV
Frame number,Hips height,Hips velocity loss,Left ankle height,Right ankle height,Shoulders tilt,Shoulders velocity loss,Step angle,Step duration,Takeoff angle,Torso tilt
-197,283.12,145.35,139.12,163.12,-7.66,39.01,21.27,0.03,-90.73,-9.33
-196,287.03,,145.52,169.96,-6.83,,5.76,0.20,,-9.78
-195,286.81,,142.20,166.17,-6.65,,-35.56,2.87,,-6.54
-194,286.33,,143.07,168.35,-8.18,,-5.55,0.07,,-8.92
-193,285.98,,142.19,165.96,-6.54,,-7.22,0.05,,-6.43
-192,287.71,,146.87,172.26,-6.46,,-9.54,,,-8.19
-191,284.18,,138.74,172.00,-5.63,,,,,-8.86
-190,281.08,,140.00,167.22,-6.28,,,,,-6.59
-189,282.19,,140.19,166.77,-5.36,,,,,-7.08
-188,279.51,,138.64,162.81,-6.27,,,,,-6.27
-187,276.62,,135.47,161.79,-9.26,,,,,-6.85
-186,273.92,,132.92,158.78,-3.92,,,,,-4.23
-185,272.21,,131.04,158.49,-5.14,,,,,-5.14
-184,267.13,,125.65,152.43,-6.16,,,,,-7.89
-183,266.15,,123.85,149.33,-5.25,,,,,-5.25
-182,264.58,,123.10,148.24,-5.18,,,,,-5.18
-181,261.52,,119.28,136.90,-5.95,,,,,-5.09
-180,258.03,,114.85,132.53,-3.47,,,,,-3.04
-179,255.12,,112.49,130.82,-2.15,,,,,-6.54
-178,255.51,,113.60,131.88,-5.05,,,,,-6.79
-177,256.13,,114.30,141.82,-3.94,,,,,-6.43
-176,253.13,,111.21,131.17,-4.32,,,,,-6.81
-175,255.85,,110.17,129.99,-4.69,,,,,-7.17
-174,250.54,,107.27,127.24,-6.80,,,,,-5.95
-173,251.80,,104.01,130.89,-6.21,,,,,-9.48
-172,248.83,,110.42,129.89,-6.01,,,,,-5.90
-171,246.98,,100.01,128.65,-6.21,,,,,-9.48
-170,241.98,,100.48,127.48,-6.11,,,,,-6.80
-169,234.46,,93.02,119.99,-5.02,,,,,-9.21
-168,237.10,,91.75,118.83,-5.28,,,,,-10.34
-167,232.12,,88.20,116.96,-4.29,,,,,-8.47
-166,231.58,,89.07,110.55,-6.87,,,,,-6.02
-165,224.15,,79.48,100.69,-5.05,,,,,-8.36
-164,220.59,,77.27,98.90,-7.00,,,,,-6.14
-163,219.74,,75.09,96.27,-4.92,,,,,-8.24
-162,219.23,,68.10,89.75,-4.53,,,,,-6.27
-161,214.49,,68.62,90.21,-1.93,,,,,-7.72
-160,212.87,,74.74,88.59,-6.91,,,,,-7.65
-159,209.09,,57.77,79.58,-5.24,,,,,-8.52
-158,208.84,,65.52,77.76,-1.72,,,,,-7.62
-157,204.21,,58.28,78.59,-7.20,,,,,-7.94
-156,204.30,,61.23,82.09,-4.66,,,,,-9.82
-155,197.10,,56.77,67.56,-5.47,,,,,-7.16
-154,197.95,,55.83,65.50,-5.58,,,,,-8.92
-153,187.02,,43.86,54.05,-5.55,,,,,-9.74
-152,189.51,,46.41,63.83,-3.11,,,,,-6.98
-151,184.75,,41.27,59.90,-4.31,,,,,-6.79
-150,182.50,,39.59,58.65,-5.82,,,,,-5.38
-149,179.17,,35.44,52.74,-7.63,,,,,-6.39
