data/BP_videos/3.MOV
Frame number,Hips height,Hips velocity loss,Left ankle height,Right ankle height,Shoulders tilt,Shoulders velocity loss,Step angle,Step duration,Takeoff angle,Torso tilt
-281,,,,,,,-31.75,0.05,,
-280,,,,,,,49.20,0.03,,
-279,,,,,,,53.16,0.10,,
-278,97.89,,9.89,33.89,-26.57,,44.27,0.07,,-23.96
-277,105.33,,10.83,40.84,-26.69,,-21.43,0.23,,-27.70
-276,107.20,,17.41,44.60,-23.41,,10.75,0.03,,-25.45
-275,107.88,,13.27,44.11,-22.31,,-8.26,0.07,,-22.74
-274,102.55,,7.73,43.46,-19.53,,14.89,0.15,,-20.12
-273,106.21,,16.91,45.90,-20.62,,39.22,0.03,,-23.99
-272,111.15,,18.24,57.32,-25.71,,-7.37,0.05,,-23.42
-271,106.74,,13.50,13.50,-21.79,,2.77,0.25,,-24.69
-270,102.09,,60.35,15.75,-20.74,,13.81,0.05,,-23.65
-269,98.89,,56.42,6.26,-23.81,,-15.00,0.15,,-22.14
-268,106.97,,18.46,65.17,-24.93,,-14.00,0.07,,-22.66
-267,106.72,,20.40,61.02,-21.32,,-10.50,0.05,,-23.81
-266,106.91,,25.08,79.45,-24.72,,-0.56,0.03,,-22.44
-265,108.86,,21.46,70.40,-21.31,,3.49,0.05,,-21.51
-264,110.04,,18.07,75.15,-23.70,,-1.47,0.37,,-20.15
-263,106.92,,15.38,68.96,-23.23,,-8.96,0.05,,-23.60
-262,113.60,,22.00,70.05,-20.78,,-9.96,0.12,,-18.55
-261,113.83,,23.25,60.45,-18.07,,11.23,0.05,,-20.87
-260,110.50,,18.67,61.63,-16.17,,1.12,0.13,,-13.30
-259,106.89,,16.26,56.11,-11.62,,2.62,0.05,,-12.99
-258,110.72,,22.63,55.18,-10.23,,5.49,0.08,,-13.19
-257,109.80,,27.58,45.99,-4.88,,7.84,0.12,,-10.64
-256,118.82,,30.48,44.15,-9.48,,10.31,0.12,,-12.55
-255,115.90,,29.18,37.98,-11.47,,11.23,0.12,,-11.66
-254,115.21,,30.28,28.60,-12.92,,12.60,0.05,,-13.11
-253,111.97,,34.90,18.49,-11.47,,15.85,0.05,,-11.66
-252,111.95,,30.95,16.37,-9.31,,19.35,0.07,,-9.50
-251,112.29,,30.98,12.83,-11.47,,20.10,0.03,,-15.81
-250,114.37,,31.59,9.00,-16.73,,21.17,0.05,,-14.88
-249,110.41,,35.87,3.60,-15.29,,17.52,0.07,,-13.44
-248,107.37,,31.15,3.19,-12.00,,14.17,0.05,,-10.94
-247,105.73,,39.58,-0.94,-16.15,,13.11,0.03,,-17.12
-246,101.40,,32.85,-0.54,-19.16,,11.20,0.12,,-12.68
-245,99.39,,38.09,-0.24,-15.73,,7.02,0.07,,-17.67
-244,96.99,,34.45,3.59,-15.54,,10.32,0.03,,-17.61
-243,95.27,,33.01,-1.94,-20.09,,8.48,0.05,,-20.71
-242,100.14,,34.67,6.75,-18.87,,24.53,0.07,,-18.06
-241,95.73,,37.14,9.62,-20.22,,27.65,0.08,,-17.38
-240,101.28,,39.43,11.34,-19.18,,17.85,0.10,,-17.77
-239,98.48,,31.62,10.65,-16.08,,-12.22,0.03,,-17.28
-238,102.02,,31.60,15.19,-15.58,,-23.23,0.03,,-16.73
-237,106.00,,28.95,20.36,-16.66,,10.74,0.03,,-17.81
-236,110.48,,34.37,24.57,-11.90,,-5.25,0.18,,-13.49
-235,114.94,,27.23,35.52,-13.22,,15.65,0.05,,-11.06
-234,113.40,,19.48,37.67,-10.36,,5.09,0.03,,-8.62
-233,111.50,,18.08,46.42,-11.46,,-4.77,0.05,,-9.74
-232,117.82,,7.66,53.36,-16.54,,12.45,0.03,,-11.35
-231,114.07,,4.94,66.09,-14.40,,1.15,0.08,,-13.82
