data/kolin.mp4
Frame number,Hips height,Hips velocity loss,Left ankle height,Right ankle height,Shoulders tilt,Shoulders velocity loss,Step duration,Step duration,Takeoff angle,Torso tilt
0,,-14.95,,,,-4.49,-12.44,0.07,6.63,
1,,,,,,,27.98,0.13,,
2,,,,,,,25.28,0.17,,
3,,,,,,,18.23,0.07,,
4,,,,,,,-11.44,0.17,,
5,,,,,,,14.14,0.27,,
6,,,,,,,-8.07,0.17,,
7,,,,,,,-18.39,0.07,,
8,,,,,,,4.28,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,
51,,,,,,,,,,
52,,,,,,,,,,
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,,,,,,
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,,,,,,,,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,,,,,,,,,,
73,,,,,,,,,,
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,,,,,,,,,
78,,,,,,,,,,
79,-66.22,,-31.97,-24.36,-8.07,,,,,-8.07
80,-70.52,,-47.69,-32.47,-9.39,,,,,-9.39
81,-71.52,,-41.08,-33.47,-9.39,,,,,-9.39
82,,,,,,,,,,
83,,,,,,,,,,
84,-75.52,,-37.47,-29.86,-9.39,,,,,-0.00
85,-72.67,,-37.67,-37.67,-9.33,,,,,-0.00
86,-66.78,,,,,,,,,
87,,,,,,,,,,
88,-67.64,,-19.98,-19.98,-0.00,,,,,-0.00
89,-71.45,,-18.03,-25.66,-0.00,,,,,-7.47
90,-73.38,,-42.23,-18.86,-6.77,,,,,-13.36
91,-77.08,,-38.92,-38.92,-0.00,,,,,-7.47
92,-73.88,,-34.94,4.01,-13.36,,,,,-6.77
93,-74.88,,-35.94,-20.36,-13.36,,,,,-6.77
94,-71.56,,-17.11,-17.11,-8.02,,,,,-0.00
95,-70.59,,-30.87,-14.98,-8.07,,,,,-13.94
96,-69.56,,-38.44,-15.11,-8.02,,,,,-0.00
97,-71.52,,-33.47,-18.24,-13.94,,,,,-7.07
98,-70.92,,-23.63,-31.51,-15.10,,,,,-6.73
99,-70.95,,-24.36,-39.89,-13.09,,,,,-13.09
100,-69.92,,-14.75,-38.39,-0.00,,,,,-6.73
101,-65.48,,-6.36,-37.89,-0.00,,,,,-0.00
102,-70.02,,-9.13,-39.58,-13.94,,,,,-7.07
103,-61.04,,-37.39,-5.86,-0.00,,,,,5.40
104,-65.91,,-35.47,-12.63,-0.00,,,,,-5.67
105,-67.11,,-25.24,-17.63,-5.16,,,,,-5.16
106,-65.00,,-18.33,-18.33,-5.63,,,,,-5.63
107,-60.54,,-5.36,-36.89,-4.91,,,,,-4.50
108,-57.39,,3.31,-19.45,-5.47,,,,,-5.02
109,-53.18,,1.17,1.17,-4.43,,,,,-0.00
110,-64.22,,-37.58,0.48,-6.29,,,,,-0.00
111,-58.54,,-27.01,-3.36,-0.00,,,,,-0.00
112,-65.42,,-18.13,-18.13,5.40,,,,,4.50
113,-66.72,,-32.47,-32.47,-0.00,,,,,-0.00
114,-66.42,,4.52,-34.89,5.40,,,,,4.50
115,-63.91,,4.59,-41.08,-0.00,,,,,4.06
116,-62.91,,5.59,5.59,-0.00,,,,,-4.73
117,-68.02,,0.48,-29.97,-5.67,,,,,-0.00
118,-61.41,,-23.36,-0.52,-9.39,,,,,-9.39
119,-59.54,,,-4.36,-4.91,,,,,-0.00
120,-60.54,,-29.01,2.52,-4.91,,,,,-4.50
121,-65.91,,2.59,-35.47,-4.73,,,,,-4.73
122,-65.78,,-34.67,-34.67,-0.00,,,,,-4.70
123,-59.91,,-29.47,8.59,-0.00,,,,,-0.00
124,-67.67,,-17.11,6.22,-5.12,,,,,-5.12
125,-66.78,,3.22,3.22,-0.00,,,,,-0.00
126,-68.91,,-0.41,,-4.73,,,,,-4.06
