data/kolin.mp4
Frame number,Hips height,Hips velocity loss,Left ankle height,Right ankle height,Shoulders tilt,Shoulders velocity loss,Step duration,Step duration,Takeoff angle,Torso tilt
0,,-1.64,,,,16.58,20.91,0.10,-14.92,
1,,,,,,,-8.90,0.57,,
2,,,,,,,11.23,0.17,,
3,,,,,,,-10.98,0.27,,
4,,,,,,,-1.34,0.17,,
5,,,,,,,19.68,0.07,,
6,,,,,,,0.26,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,
51,,,,,,,,,,
52,,,,,,,,,,
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,,,,,,
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,,,,,,,,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,,,,,,,,,,
73,,,,,,,,,,
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,,,,,,,,,
78,,,,,,,,,,
79,11.50,,-28.50,-28.50,7.75,,,,,6.79
80,11.58,,,,14.47,,,,,14.47
81,11.81,,-35.42,-27.55,7.88,,,,,0.00
82,,,,,,,,,,
83,,,,,,,,,,
84,,,,,,,,,,
85,13.59,,,,1.23,,,,,1.23
86,,,,,,,,,,
87,,,,,,,,,,
88,9.01,,-52.76,-107.68,4.87,,,,,-2.25
89,14.32,,-48.70,-40.86,8.24,,,,,0.11
90,7.13,,-23.31,-104.82,9.57,,,,,4.03
91,9.40,,-27.99,-101.91,5.60,,,,,5.60
92,9.28,,-35.90,-14.62,5.60,,,,,11.15
93,9.61,,-36.37,-100.92,9.57,,,,,4.03
94,15.79,,-39.46,-39.46,5.60,,,,,12.73
95,8.33,,-23.40,-41.58,9.69,,,,,3.98
96,8.05,,-15.85,-41.67,5.61,,,,,11.32
97,17.03,,-21.12,-35.51,9.69,,,,,2.57
98,14.42,,-23.12,-27.85,4.93,,,,,-2.20
99,12.43,,-35.16,-20.09,0.84,,,,,-4.78
100,16.57,,-40.02,-14.67,3.94,,,,,3.94
101,11.19,,-43.62,-12.62,0.90,,,,,-4.81
102,10.17,,-45.95,-21.61,3.57,,,,,2.95
103,8.83,,-14.98,-46.49,0.85,,,,,-4.70
104,9.35,,-40.38,-22.36,4.32,,,,,-1.22
105,14.69,,-30.21,-37.69,2.04,,,,,2.04
106,16.23,,-18.15,-36.95,4.19,,,,,-1.57
107,5.92,,-46.45,-14.70,2.99,,,,,2.99
108,9.27,,-52.20,-22.27,-1.25,,,,,-0.28
109,4.82,,-51.17,-59.17,1.34,,,,,1.34
110,9.82,,-26.54,-58.53,1.34,,,,,1.34
111,11.82,,-31.99,-48.89,-4.83,,,,,1.34
112,14.75,,-40.29,-41.92,1.34,,,,,1.34
113,17.32,,-45.76,-31.76,-4.83,,,,,1.34
114,15.22,,-48.03,-17.49,-4.22,,,,,-7.88
115,15.90,,-56.15,-5.87,0.46,,,,,0.02
116,10.06,,-52.71,-52.71,3.08,,,,,-1.59
117,10.01,,-52.62,-21.47,3.17,,,,,3.17
118,8.73,,-30.52,-47.38,6.03,,,,,6.03
119,11.12,,-35.08,-45.18,7.87,,,,,3.17
120,13.53,,-26.70,-48.57,6.37,,,,,5.95
121,14.07,,-57.58,-16.63,4.07,,,,,3.14
122,12.39,,-17.98,-59.73,0.12,,,,,0.12
123,6.67,,-56.60,-64.28,-1.79,,,,,2.96
124,11.55,,-37.41,-56.93,9.07,,,,,9.07
125,15.14,,-50.41,-45.70,3.09,,,,,3.09
126,15.59,,-48.18,-38.63,9.44,,,,,7.23
127,7.43,,-65.72,-22.60,7.71,,,,,7.12
