data/kolin.mp4
Frame number,Hips height,Hips velocity loss,Left ankle height,Right ankle height,Shoulders tilt,Shoulders velocity loss,Step duration,Step duration,Takeoff angle,Torso tilt
0,,1.54,,,,9.15,26.24,0.10,13.08,
1,,,,,,,-12.06,1.00,,
2,,,,,,,20.51,0.07,,
3,,,,,,,-1.97,0.13,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,
51,,,,,,,,,,
52,,,,,,,,,,
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,,,,,,
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,,,,,,,,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,,,,,,,,,,
73,,,,,,,,,,
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,,,,,,,,,
78,,,,,,,,,,
79,-11.93,,27.84,27.84,-7.82,,,,,-6.85
80,-12.43,,19.39,27.34,-9.11,,,,,-17.77
81,-13.43,,26.34,26.34,-9.11,,,,,-0.00
82,-13.67,,,,-0.00,,,,,-0.00
83,,,,,,,,,,
84,-9.48,,,,-0.00,,,,,-0.00
85,-12.88,,,,-8.02,,,,,-7.02
86,-10.88,,,,-8.02,,,,,-7.02
87,-2.00,,53.12,45.25,-12.36,,,,,-11.15
88,-2.50,,53.81,45.76,-6.30,,,,,-11.23
89,-5.95,,49.41,41.50,-0.00,,,,,-0.00
90,-14.25,,21.01,99.36,-0.00,,,,,-6.34
91,-11.86,,27.68,98.86,-6.87,,,,,-0.00
92,-18.67,,28.34,12.67,-8.13,,,,,-0.00
93,-11.84,,35.18,35.18,-6.34,,,,,-0.00
94,-15.75,,39.38,39.38,-15.73,,,,,-7.02
95,-9.57,,18.59,50.76,-13.94,,,,,-6.30
96,-9.81,,17.75,41.38,-0.00,,,,,-6.25
97,-13.43,,18.39,42.25,-0.00,,,,,-6.85
98,-17.17,,21.73,29.51,-0.00,,,,,-7.36
99,-14.42,,25.18,33.10,-0.00,,,,,5.62
100,-16.17,,38.29,14.95,-6.55,,,,,-0.00
101,-15.67,,38.79,15.45,7.36,,,,,-0.00
102,-11.93,,43.75,43.75,-0.00,,,,,-5.49
103,-15.17,,15.95,47.07,0.00,,,,,0.00
104,-11.45,,24.34,40.25,-0.00,,,,,5.00
105,-12.48,,35.25,35.25,-0.00,,,,,5.49
106,-9.00,,22.50,38.25,-0.00,,,,,5.63
107,-10.78,,39.79,8.67,-5.90,,,,,-0.00
108,-6.00,,58.05,26.02,-5.48,,,,,-4.57
109,-4.42,,51.02,58.94,-0.00,,,,,-0.00
110,-9.93,,21.89,53.71,-0.00,,,,,-0.00
111,-12.67,,26.23,49.57,5.90,,,,,-0.00
112,-11.67,,35.01,42.79,-0.00,,,,,-0.00
113,-12.43,,43.25,27.34,5.49,,,,,-0.00
114,-12.67,,49.57,18.45,-0.00,,,,,4.92
115,-5.48,,58.16,18.39,-0.00,,,,,3.93
116,-12.43,,59.16,59.16,-0.00,,,,,4.58
117,-9.93,,53.71,21.89,-0.00,,,,,-0.00
118,-6.95,,36.80,52.71,-4.58,,,,,-4.23
119,-13.67,,40.79,40.79,-5.90,,,,,-4.92
120,-14.67,,24.23,47.57,-5.90,,,,,-4.92
121,-7.48,,64.12,24.34,-0.00,,,,,-4.58
122,-9.88,,21.62,61.00,-4.70,,,,,-4.70
123,-9.43,,62.16,30.34,-0.00,,,,,-0.00
124,-7.88,,47.25,55.12,-9.33,,,,,-4.03
125,-18.75,,52.12,44.25,-0.00,,,,,-0.00
126,-10.48,,53.16,37.25,-9.11,,,,,-7.82
127,-7.00,,63.88,24.50,-4.03,,,,,-4.03
128,-9.94,,57.00,17.62,-0.00,,,,,-0.00
129,-21.45,,54.12,6.39,-0.00,,,,,-4.23
130,-25.23,,48.92,6.16,-7.50,,,,,-2.58
131,-31.83,,34.30,4.71,-9.63,,,,,-10.08
132,-37.63,,11.12,0.89,-12.73,,,,,-8.02
133,-47.38,,7.35,-7.17,-24.88,,,,,-20.68
134,-52.61,,-15.05,-18.12,-31.88,,,,,-26.36
