data/BP_videos/1.MOV
Frame number,Hips height,Hips velocity loss,Left ankle height,Right ankle height,Shoulders tilt,Shoulders velocity loss,Step angle,Step duration,Takeoff angle,Torso tilt
-360,156.12,-235.09,128.90,121.12,-21.09,38.66,-1.06,0.28,-80.88,-10.92
-359,187.57,,133.74,133.74,,,0.40,0.53,,
-358,,,,,,,16.48,0.07,,
-357,,,,,,,20.75,0.07,,
-356,,,,,,,-33.44,0.05,,
-355,,,,,,,9.17,0.13,,
-354,,,,,,,-12.62,0.08,,
-353,155.57,,,,,,-31.05,0.05,,
-352,,,,,,,35.75,0.18,,
-351,151.84,,,111.13,-17.16,,12.27,0.07,,-10.82
-350,150.07,,123.68,,-5.90,,-9.25,0.08,,-12.24
-349,146.76,,121.62,112.77,1.28,,5.56,0.05,,-1.45
-348,,,,,,,-11.60,0.13,,
-347,149.45,,117.54,117.37,-15.06,,13.77,0.03,,-10.56
-346,153.77,,129.07,129.07,1.70,,-0.21,0.10,,6.47
-345,138.39,,114.80,119.70,12.93,,19.38,0.07,,8.49
-344,147.39,,100.23,108.07,1.51,,0.82,0.05,,10.98
-343,,,,,,,-5.30,0.03,,
-342,,,,,,,-14.71,0.03,,
-341,,,,,,,-22.35,0.03,,
-340,,,,,,,14.11,0.17,,
-339,,,,,,,2.84,0.05,,
-338,,,,,,,-19.71,0.18,,
-337,,,,,,,17.29,0.05,,
-336,,,,,,,1.82,0.22,,
-335,,,,,,,-4.17,0.05,,
-334,,,,,,,17.80,0.03,,
-333,,,,,,,7.92,0.05,,
-332,144.41,,,,-6.81,,-2.51,0.10,,-9.03
-331,153.95,,,,-0.10,,8.31,0.05,,-0.10
-330,144.95,,112.94,112.96,-9.36,,-2.18,0.07,,-9.36
-329,148.63,,118.91,120.39,-5.15,,-1.00,0.13,,-2.12
-328,141.96,,101.93,101.98,-8.58,,-15.92,2.33,,-6.35
-327,145.74,,99.44,99.99,-5.35,,12.04,0.13,,-3.02
-326,143.49,,105.32,105.32,-9.26,,3.25,0.03,,-6.82
-325,139.97,,99.78,99.78,-3.79,,-5.68,,,-2.78
-324,134.98,,94.99,94.99,0.42,,,,,0.42
-323,141.70,,95.26,95.20,-0.42,,,,,-0.42
-322,137.11,,94.46,94.46,8.55,,,,,6.76
-321,134.96,,96.04,96.04,-3.15,,,,,-3.15
-320,134.96,,96.19,96.21,7.23,,,,,7.23
-319,139.38,,99.81,99.81,-4.81,,,,,-2.47
-318,140.17,,98.78,98.78,-0.08,,,,,2.26
-317,135.65,,96.08,96.08,-2.47,,,,,-2.47
-316,136.94,,96.18,97.45,-4.65,,,,,-4.65
-315,142.28,,96.53,106.62,-6.89,,,,,-6.89
-314,142.27,,101.54,104.77,-7.90,,,,,-12.51
-313,147.15,,104.17,109.97,-11.99,,,,,-3.86
-312,,,126.62,,,,,,,
-311,,,122.12,122.12,,,,,,
-310,137.05,,103.33,107.43,-6.43,,,,,-0.24
-309,,,,,,,,,,
-308,139.81,,107.47,111.80,21.01,,,,,5.27
-307,139.91,,110.47,100.63,-6.83,,,,,-4.71
-306,146.06,,102.55,104.84,0.44,,,,,0.44
-305,146.97,,103.66,105.45,6.68,,,,,-1.45
-304,145.45,,104.13,104.16,0.07,,,,,-4.69
-303,144.88,,98.08,105.08,-8.83,,,,,-15.01
-302,,,,,,,,,,
-301,140.93,,113.99,104.01,-8.53,,,,,-4.30
-300,137.56,,91.32,91.32,-0.51,,,,,-0.51
-299,140.95,,90.92,90.92,0.30,,,,,1.08
-298,131.49,,83.34,83.34,-7.93,,,,,-14.24
-297,136.16,,89.50,89.50,-1.07,,,,,-7.98
-296,133.42,,91.82,91.82,-2.56,,,,,-10.26
-295,138.11,,98.87,98.87,-4.37,,,,,-2.39
-294,143.79,,97.55,105.18,-19.62,,,,,-19.62
-293,138.28,,101.84,101.84,-14.07,,,,,-15.91
-292,142.13,,91.12,91.12,-11.49,,,,,-8.31
-291,141.28,,102.95,92.07,-10.49,,,,,-7.84
-290,140.13,,102.94,91.41,-10.65,,,,,-10.65
-289,135.80,,104.61,95.19,2.33,,,,,-2.44
-288,143.51,,110.05,102.47,-11.00,,,,,-8.87
-287,140.32,,113.11,102.20,-5.67,,,,,-5.67
-286,140.19,,112.60,126.97,-5.92,,,,,-6.55
-285,151.49,,97.70,128.49,8.30,,,,,0.17
-284,147.97,,90.31,128.71,-8.30,,,,,-0.17
-283,143.12,,89.34,120.03,0.17,,,,,-6.96
-282,144.53,,83.20,121.00,-4.21,,,,,-10.12
-281,136.95,,80.84,89.55,-1.30,,,,,-1.30
-280,137.75,,75.38,83.12,-2.05,,,,,-1.04
-279,137.40,,74.92,99.51,-1.12,,,,,0.30
-278,130.41,,76.41,92.54,-0.26,,,,,0.37
-277,129.91,,75.50,100.08,-6.52,,,,,-5.30
-276,129.95,,74.43,99.46,1.69,,,,,-3.28
-275,130.90,,74.96,99.87,-6.52,,,,,-5.30
-274,132.95,,75.58,94.33,-4.66,,,,,-3.42
-273,138.30,,80.50,94.34,-10.84,,,,,-8.26
-272,138.94,,72.34,92.73,-7.08,,,,,-5.15
-271,138.02,,72.61,92.01,-5.60,,,,,-9.81
-270,136.04,,82.47,91.23,-5.85,,,,,-4.09
-269,140.16,,91.80,93.80,-5.94,,,,,-8.53
-268,138.11,,93.52,91.30,-7.79,,,,,-10.28
-267,133.59,,97.88,88.75,-8.70,,,,,-6.98
-266,134.85,,99.37,83.01,-8.53,,,,,-6.79
-265,136.40,,112.47,80.68,-8.90,,,,,-8.90
-264,137.89,,118.23,77.97,-5.14,,,,,-7.80
-263,133.75,,112.83,72.32,-4.51,,,,,-7.84
-262,132.80,,91.09,71.60,-8.24,,,,,-10.84
-261,131.82,,112.39,64.10,-3.55,,,,,-1.43
-260,123.93,,99.43,61.14,-8.69,,,,,-7.14
-259,123.51,,95.05,62.82,-6.53,,,,,-4.71
-258,127.00,,67.22,67.22,-5.64,,,,,-16.26
-257,124.37,,67.57,59.93,-6.22,,,,,-9.58
-256,124.44,,60.23,98.91,-10.50,,,,,-13.92
-255,129.82,,62.80,85.69,-13.91,,,,,-13.91
-254,123.68,,68.51,68.51,-19.18,,,,,-14.59
-253,128.33,,66.98,78.91,-17.21,,,,,-14.49
-252,130.15,,84.53,66.93,-22.12,,,,,-22.12
-251,130.41,,80.10,65.11,-12.89,,,,,-10.77
-250,130.52,,69.98,79.08,-12.87,,,,,-15.49
-249,129.77,,75.35,77.90,-11.08,,,,,-13.12
-248,126.47,,67.13,89.14,-11.86,,,,,-5.85
-247,128.14,,73.15,111.20,-12.85,,,,,-14.91
-246,126.43,,58.45,90.87,-7.43,,,,,-8.25
-245,126.47,,56.69,97.63,-5.99,,,,,-0.20
-244,130.31,,52.55,110.42,-9.26,,,,,-8.04
-243,129.45,,51.04,107.45,-7.67,,,,,-11.03
-242,125.86,,47.32,110.78,-8.83,,,,,-12.22
-241,124.45,,46.06,78.31,-12.99,,,,,-7.47
-240,118.82,,43.81,104.46,0.34,,,,,-2.84
-239,121.79,,48.97,74.78,-8.33,,,,,-10.07
-238,120.18,,44.41,79.79,-5.33,,,,,-8.54
-237,122.73,,46.77,75.26,-11.44,,,,,-9.90
-236,121.59,,52.36,67.11,-5.36,,,,,-4.14
-235,122.43,,54.94,64.39,-3.90,,,,,-3.90
-234,127.52,,63.38,67.76,-4.23,,,,,-7.41
-233,124.43,,61.49,57.29,-9.92,,,,,-8.41
-232,126.42,,67.39,51.60,-6.17,,,,,-8.80
-231,132.20,,89.80,63.45,-5.44,,,,,-10.17
-230,127.95,,97.79,52.97,-5.21,,,,,-8.31
-229,131.16,,98.63,47.51,-5.73,,,,,-12.18
-228,126.78,,103.76,41.58,-4.46,,,,,-6.95
-227,128.77,,116.47,45.31,-8.59,,,,,-7.44
-226,126.88,,111.81,42.03,-15.54,,,,,-10.10
-225,124.16,,103.89,39.04,-2.29,,,,,-8.58
-224,126.67,,116.33,43.43,-2.61,,,,,-5.70
-223,126.73,,38.89,38.89,-14.96,,,,,-13.72
-222,124.77,,94.11,44.84,-9.48,,,,,-14.52
-221,125.89,,87.96,44.23,-7.43,,,,,-9.58
-220,121.64,,68.81,48.51,-12.21,,,,,-9.23
-219,128.05,,69.34,45.45,-13.67,,,,,-11.88
-218,123.73,,59.10,46.91,-12.21,,,,,-9.23
-217,121.36,,52.96,54.28,-4.21,,,,,-7.66
-216,122.99,,42.60,57.53,-8.86,,,,,-7.84
-215,120.43,,41.73,71.26,-12.44,,,,,-12.22
-214,123.71,,33.11,74.64,-9.08,,,,,-11.24
-213,119.94,,32.11,86.76,-7.55,,,,,-4.91
-212,120.55,,23.75,23.75,-4.86,,,,,-3.86
-211,120.67,,20.40,19.30,-7.92,,,,,-6.01
-210,121.78,,14.34,22.09,-5.42,,,,,-4.41
-209,118.36,,10.01,68.53,-7.31,,,,,-6.30
-208,120.68,,15.68,76.68,-6.56,,,,,-6.81
-207,117.08,,18.46,79.24,-5.03,,,,,-7.47
-206,117.84,,16.91,76.93,-10.21,,,,,-12.78
-205,121.33,,19.48,67.36,-10.06,,,,,-10.97
-204,117.15,,25.88,48.01,-9.04,,,,,-7.78
-203,112.00,,29.57,43.09,-9.31,,,,,-5.44
-202,111.39,,28.59,36.67,-3.38,,,,,-4.87
-201,109.77,,41.57,29.24,-5.65,,,,,-4.17
-200,111.35,,50.41,28.96,3.05,,,,,-4.46
-199,110.75,,64.96,24.80,-3.84,,,,,-8.39
-198,111.39,,68.99,12.43,-2.71,,,,,-5.49
-197,111.14,,81.62,7.26,-6.27,,,,,-7.11
-196,111.60,,81.81,2.18,-7.96,,,,,-7.04
-195,106.28,,82.60,-7.41,-4.66,,,,,-6.43
-194,109.29,,81.91,-6.24,-6.08,,,,,-4.43
-193,103.63,,78.28,-6.25,-5.16,,,,,-5.58
-192,104.37,,73.38,-12.65,-7.18,,,,,-7.03
-191,103.64,,58.34,-6.43,-10.15,,,,,-9.56
-190,102.23,,45.12,-3.67,-10.15,,,,,-9.56
-189,102.51,,25.73,-2.12,-15.28,,,,,-12.73
-188,101.49,,19.52,2.05,-11.35,,,,,-10.22
-187,103.41,,12.73,9.27,-7.38,,,,,-7.38
-186,106.51,,9.10,23.40,-8.63,,,,,-5.82
-185,109.01,,6.01,30.94,-10.40,,,,,-9.99
-184,106.98,,-4.82,44.48,-10.25,,,,,-9.99
-183,109.28,,-8.60,51.69,-5.82,,,,,-8.24
-182,105.90,,-16.87,56.10,-5.61,,,,,-5.61
-181,104.63,,-30.24,65.07,-8.63,,,,,-8.24
-180,100.64,,-32.30,-32.30,-4.08,,,,,-7.37
-179,100.59,,-32.80,-31.07,-2.13,,,,,-5.82
-178,97.43,,-29.29,15.99,-1.50,,,,,-4.40
-177,93.56,,-34.24,50.68,1.89,,,,,-1.34
-176,94.56,,-34.36,29.02,1.31,,,,,-2.00
-175,97.55,,-19.03,28.86,4.85,,,,,2.75
-174,94.89,,-20.43,17.26,10.13,,,,,5.49
-173,100.32,,-16.72,12.49,4.85,,,,,0.85
-172,98.28,,-6.29,-4.33,10.13,,,,,5.49
-171,94.08,,4.17,-13.68,10.13,,,,,8.22
-170,97.07,,24.06,-6.83,10.10,,,,,5.41
-169,96.25,,31.79,-14.46,5.10,,,,,3.05
-168,90.27,,39.04,-27.51,5.57,,,,,4.28
-167,91.61,,41.98,-32.07,7.65,,,,,3.87
-166,86.95,,39.56,-40.75,5.85,,,,,1.84
-165,87.57,,28.82,-52.19,5.18,,,,,-0.38
-164,78.20,,26.59,-50.76,1.71,,,,,0.75
-163,81.67,,19.82,-40.24,1.31,,,,,-2.45
-162,77.03,,5.88,-48.05,-0.80,,,,,-0.80
-161,82.75,,-10.80,-40.07,-1.42,,,,,-2.45
-160,85.80,,-20.61,-31.90,3.15,,,,,-0.38
-159,88.37,,-29.83,-26.42,3.20,,,,,1.79
-158,86.04,,-35.38,-29.37,2.80,,,,,0.91
-157,89.48,,39.74,-22.02,5.49,,,,,3.87
-156,128.54,,45.63,57.69,-0.38,,,,,-1.42
-155,107.32,,40.52,52.58,-50.82,,,,,-48.33
-154,126.08,,37.51,59.07,4.45,,,,,-0.69
-153,131.96,,44.30,58.10,-1.42,,,,,1.31
-152,128.42,,47.26,55.07,3.87,,,,,-2.32
-151,132.17,,43.60,59.14,28.63,,,,,-2.38
-150,127.69,,-55.06,73.18,0.52,,,,,47.00
-149,139.38,,71.98,69.46,66.72,,,,,-1.49
-148,145.52,,82.53,80.07,5.39,,,,,-0.08
-147,136.48,,76.66,74.02,0.25,,,,,1.46
-146,146.72,,79.95,77.42,5.49,,,,,-1.42
-145,145.44,,82.49,79.96,-1.42,,,,,0.09
-144,144.88,,52.50,79.40,-7.94,,,,,0.09
-143,147.40,,80.59,78.06,67.08,,,,,1.31
-142,139.03,,55.79,49.00,-2.64,,,,,-64.39
-141,148.05,,50.10,54.46,67.08,,,,,1.31
-140,135.26,,45.98,76.02,-0.21,,,,,-4.52
-139,130.89,,47.36,45.75,-3.33,,,,,-6.82
-138,131.77,,46.39,44.58,0.68,,,,,-5.59
-137,137.25,,52.71,96.00,-6.05,,,,,-6.05
-136,132.55,,47.29,47.40,-3.33,,,,,-2.32
-135,137.17,,43.22,43.33,76.05,,,,,81.79
-134,136.50,,77.31,39.80,60.98,,,,,-62.45
-133,135.68,,68.69,53.41,62.52,,,,,68.93
-132,137.81,,70.82,55.55,62.52,,,,,68.93
-131,131.33,,71.15,39.69,-62.76,,,,,-61.12
-130,136.91,,32.97,37.76,-22.38,,,,,1.31
-129,136.60,,68.94,37.69,64.14,,,,,1.38
-128,137.97,,70.28,38.83,62.81,,,,,1.31
-127,137.26,,69.56,38.11,62.81,,,,,1.31
-126,136.03,,68.34,36.88,62.81,,,,,1.31
-125,135.18,,67.49,36.03,0.09,,,,,1.31
-124,135.46,,67.76,65.20,0.09,,,,,1.31
-123,137.69,,70.85,69.58,5.49,,,,,70.04
-122,134.80,,67.10,64.54,0.09,,,,,1.31
-121,136.06,,66.62,64.05,6.28,,,,,1.31
-120,136.60,,68.90,66.34,-5.82,,,,,1.31
-119,134.81,,71.02,68.45,-78.41,,,,,2.31
-118,130.50,,69.57,67.00,3.15,,,,,-62.45
-117,134.99,,93.84,52.02,-77.38,,,,,1.31
-116,127.22,,63.09,49.56,66.15,,,,,-2.32
-115,132.57,,93.88,50.31,-66.07,,,,,-62.45
-114,129.38,,91.56,47.99,-66.43,,,,,-62.91
-113,128.88,,64.75,62.19,66.15,,,,,-2.32
-112,129.28,,91.46,205.18,-66.43,,,,,-62.91
-111,127.87,,56.85,46.48,-2.64,,,,,-62.91
-110,132.15,,53.32,50.75,-65.69,,,,,70.00
-109,129.08,,99.31,51.42,3.15,,,,,78.76
-108,125.26,,50.17,47.60,-4.49,,,,,-2.32
-107,126.38,,102.66,48.72,-22.92,,,,,-2.32
-106,128.87,,105.02,197.85,-5.70,,,,,-4.38
-105,127.57,,113.82,198.99,3.15,,,,,-3.33
-104,125.59,,50.56,194.57,-5.70,,,,,-2.22
-103,126.93,,51.83,196.19,-5.82,,,,,-4.49
-102,125.71,,54.52,44.15,-4.49,,,,,-3.33
-101,125.06,,49.97,47.40,-4.49,,,,,-2.32
-100,127.34,,52.30,49.70,-1.33,,,,,-4.38
-99,127.25,,52.27,49.72,-5.85,,,,,-4.51
-98,129.65,,55.11,52.61,-1.53,,,,,3.80
-97,124.38,,48.42,47.60,-1.42,,,,,1.31
-96,128.17,,53.91,53.13,-4.57,,,,,-9.29
-95,124.53,,49.83,47.27,-5.79,,,,,-33.81
-94,123.33,,48.41,45.82,-0.32,,,,,-2.25
-93,125.38,,48.94,48.12,3.88,,,,,-2.29
-92,123.52,,49.19,48.47,-4.67,,,,,-2.48
-91,123.62,,49.05,46.49,3.89,,,,,-2.28
-90,118.65,,43.67,41.12,-0.40,,,,,-2.34
-89,122.18,,47.61,45.05,-4.44,,,,,-2.28
-88,120.96,,42.20,39.66,-1.47,,,,,-3.38
-87,120.75,,49.75,39.35,-5.69,,,,,-3.21
-86,122.09,,43.65,86.92,-4.45,,,,,-3.29
-85,126.82,,106.83,85.36,59.59,,,,,57.86
-84,127.61,,103.49,81.92,59.23,,,,,55.86
-83,127.25,,427.39,79.55,65.49,,,,,71.65
-82,134.03,,98.60,84.81,4.44,,,,,5.45
-81,131.04,,95.49,81.60,4.56,,,,,5.56
-80,135.75,,92.68,86.69,-3.46,,,,,-8.10
-79,135.11,,84.25,84.25,4.48,,,,,5.49
-78,135.61,,85.78,85.78,-1.48,,,,,-1.48
-77,136.28,,81.28,89.08,4.52,,,,,4.52
-76,142.87,,93.75,93.75,4.48,,,,,-7.95
-75,145.20,,94.27,94.27,4.49,,,,,5.50
-74,141.19,,96.02,520.08,4.47,,,,,-24.69
-73,139.97,,90.77,90.77,-5.80,,,,,-7.92
-72,135.65,,86.29,86.29,-10.49,,,,,-7.86
-71,132.60,,83.31,83.31,4.46,,,,,5.47
-70,132.52,,83.07,81.34,4.54,,,,,5.53
-69,133.88,,86.50,84.76,-10.60,,,,,-7.96
-68,129.68,,431.38,82.14,-10.47,,,,,-7.84
-67,132.92,,433.63,85.54,4.50,,,,,5.51
-66,132.21,,435.22,561.20,-30.89,,,,,-7.93
-65,489.64,,441.26,567.24,-82.60,,,,,-82.60
-64,492.61,,440.46,440.46,-84.79,,,,,-84.48
-63,494.94,,441.25,577.32,-85.11,,,,,-85.11
-62,498.05,,447.96,447.96,-87.72,,,,,-86.87
-61,502.82,,448.79,448.79,89.75,,,,,-89.21
-60,133.02,,448.12,88.24,4.49,,,,,5.50
-59,130.42,,455.30,83.05,5.50,,,,,-32.69
-58,503.21,,455.44,455.44,88.62,,,,,89.85
-57,501.40,,455.24,455.24,89.80,,,,,89.80
-56,139.74,,456.61,96.91,4.45,,,,,5.46
-55,505.17,,457.98,457.98,86.80,,,,,89.33
-54,133.92,,462.90,90.00,-3.31,,,,,-1.40
-53,133.81,,463.48,463.48,-36.56,,,,,-7.93
-52,128.91,,79.54,85.59,5.50,,,,,5.50
-51,132.96,,461.82,86.61,4.50,,,,,-37.67
-50,137.63,,88.72,88.72,-5.97,,,,,-39.44
-49,137.10,,88.20,88.20,-3.46,,,,,-8.11
-48,131.19,,90.00,88.26,5.45,,,,,6.87
-47,134.15,,84.86,84.86,-3.29,,,,,-7.89
-46,130.08,,79.05,79.05,5.51,,,,,5.51
-45,129.45,,86.07,87.81,5.53,,,,,6.94
-44,134.73,,88.81,88.81,-42.22,,,,,0.02
-43,130.69,,84.42,86.16,4.51,,,,,0.12
-42,131.14,,80.01,81.76,4.50,,,,,5.50
-41,129.53,,90.44,86.20,5.43,,,,,6.22
-40,133.01,,90.00,85.75,5.46,,,,,5.46
-39,127.79,,83.61,81.03,-1.36,,,,,-1.36
-38,126.88,,83.50,73.10,-1.34,,,,,-7.83
-37,127.01,,418.60,82.28,-1.49,,,,,1.25
-36,128.21,,401.82,78.58,-1.41,,,,,-5.80
-35,125.35,,81.20,80.38,-1.42,,,,,-1.42
-34,123.90,,78.88,79.81,5.49,,,,,6.91
-33,123.12,,350.18,77.28,5.49,,,,,6.91
-32,266.44,,340.70,82.83,-63.38,,,,,-56.87
-31,262.00,,317.72,81.62,-62.19,,,,,-57.97
-30,256.10,,77.47,301.31,-62.11,,,,,-56.51
-29,373.94,,79.58,286.92,-49.61,,,,,-71.41
-28,365.26,,269.34,269.34,-69.32,,,,,-75.70
-27,349.93,,289.88,254.26,-66.71,,,,,-74.12
-26,335.19,,,,-65.16,,,,,-68.47
-25,268.59,,201.93,279.37,-18.95,,,,,-23.41
-24,122.64,,197.18,194.29,-20.28,,,,,-22.16
-23,128.65,,180.71,78.79,-1.34,,,,,-5.61
-22,275.99,,163.72,174.03,-46.36,,,,,-47.72
-21,279.93,,147.59,158.81,-51.63,,,,,-55.80
-20,264.23,,142.59,142.59,-54.93,,,,,-50.97
-19,247.59,,128.80,135.44,-42.76,,,,,-47.34
-18,234.77,,112.43,117.17,-39.73,,,,,-47.84
-17,220.13,,90.57,101.79,-38.55,,,,,-38.55
-16,203.30,,82.19,88.41,-28.52,,,,,-33.10
-15,188.80,,66.08,71.03,-25.33,,,,,-27.25
-14,171.09,,51.40,51.40,-18.72,,,,,-19.45
-13,154.20,,40.60,40.60,-15.25,,,,,-14.57
-12,137.51,,33.02,33.02,-8.36,,,,,-15.21
-11,132.16,,27.34,34.60,1.42,,,,,-5.86
-10,117.29,,-18.05,24.79,-0.08,,,,,-7.36
-9,102.64,,5.39,-16.06,0.07,,,,,-8.42
-8,95.78,,-7.89,-4.37,3.65,,,,,-5.65
-7,93.13,,1.47,-3.24,-4.17,,,,,-8.94
-6,81.12,,-3.45,-1.23,4.37,,,,,0.32
-5,75.29,,,,4.39,,,,,-1.16
-4,87.90,,29.13,,2.58,,,,,-3.77
-3,93.99,,10.86,29.68,-6.31,,,,,-10.92
-2,86.56,,3.20,20.99,-13.03,,,,,-17.35
-1,103.96,,21.31,11.44,-15.53,,,,,-17.61
0,106.67,,0.00,8.92,-13.69,,,,,-18.47
1,113.24,,26.56,19.89,-15.52,,,,,-24.53
2,114.23,,17.09,14.87,-15.35,,,,,-24.35
3,115.57,,21.60,22.58,-16.44,,,,,-18.21
4,118.66,,19.46,18.47,-16.40,,,,,-19.91
5,126.67,,29.99,25.54,-18.57,,,,,-24.48
6,127.19,,39.08,24.79,-18.52,,,,,-21.99
7,127.87,,37.40,25.32,-16.52,,,,,-18.29
8,126.85,,43.87,31.77,-14.78,,,,,-18.33
9,132.09,,44.18,32.09,-13.49,,,,,-17.43
10,133.64,,51.77,37.45,-14.71,,,,,-15.75
11,140.68,,58.68,44.34,-18.47,,,,,-19.31
12,140.32,,61.14,52.11,-13.05,,,,,-14.96
13,143.43,,63.32,37.37,-16.72,,,,,-21.07
14,145.76,,66.93,40.30,-18.00,,,,,-23.56
