Athlete's center of gravity in video data/kolin2.MOV


-0.0869565








-7
-8.5


-33.44


-19.92
-15.888








-20.9
-24.95
-28.95
-25.888
-27.96
-27.888
-29.95
-29.95
-26.888
-27.888
-29.96
-31.96
-29.96
-30.96
-33.8231
-34.8231
-37.1
-39.8231
-42.42
-47.38
-41.8231
-39.3231
-40.3231

-42.3231
-39.96
-41.8231
-40.8231
-38.9615
-41.8231
-42.9615
-42.6
-45.6
-43.6
-41.6
-43
-43.5
-44
-40.8429
-44
-44.5
-46.5
-39.3429
-47.4429
-48.9429
-48.3241
-46.3241
-42.3241
-35.9714
-36.4714
-39.8241
-24.9414
-20.1679
-8.74729
0.170108
15.032
18.7624
32.7541
39.0585
34.5749
37.5804
45.4973
46.4829
45.35
57.2243
66.2906
69.9049
74.2969
85.663
99.6833



136.281
148.826


190.5
202



264.471
286.943

300.529

341.986

371.957
371
384.486
395.486
398.5



418










388.086
373.114
363.114
350.114
336.114
326.114
311.614
297.114
280.114





