data/kolin.mp4
Frame number,Hips height (frame coordinates),Hips height (real coordinates),Left foot height (frame coordinates),Left foot height (real coordinates),Right foot height (frame coordinates),Right foot height (real coordinates),Torso tilt (chest) (frame coordinates),Torso tilt (shoulders) (frame coordinates)
146,-262.023,82.4771,-202.773,141.727,-209.65,134.85,81.5258,71.3747
147,,,-195.075,152.425,-195.075,152.425,,
148,-245.124,107.376,-195.261,157.239,-189.721,162.779,,86.1859
149,,,,,,,,
150,-237.097,121.903,-182.628,176.372,-178.657,180.343,86.7176,80.6815
151,-228.631,133.369,-180.855,181.145,,,,88.1815
152,-223.295,141.705,,,-160.919,204.081,,
153,,,,,,,,
154,,,,,,,,
155,-200.165,174.335,-145.318,229.182,-129.647,244.853,,
156,-184.329,192.671,-129.482,247.518,-121.647,255.353,,
157,-176.329,203.171,-113.647,265.853,-105.812,273.688,,
158,-167.329,215.171,-96.8118,285.688,-96.8118,285.688,,
159,-158.165,228.335,-87.6471,298.853,-87.6471,298.853,,
160,-142.682,245.318,-75.4545,312.545,-75.4545,312.545,,
161,-132.413,256.587,-68.0625,320.938,-60.0188,328.981,,
162,,,,,,,,
163,-118.188,275.812,-59.125,334.875,-59.125,334.875,,
164,-162.811,235.189,-115.144,282.856,,,,
165,-162.053,237.447,-108.632,290.868,-131.526,267.974,,
166,-162.756,237.244,,,-107.144,292.856,,
