data/BP_videos/16.MOV
Frame number,Hips height,Hips velocity loss,Left ankle height,Right ankle height,Shoulders tilt,Shoulders velocity loss,Step angle,Step duration,Takeoff angle,Torso tilt
-224,113.46,209.14,-5.17,2.73,-21.47,200.99,29.60,0.05,70.35,-22.03
-223,114.07,,-8.18,4.87,-19.38,,22.27,0.03,,-21.23
-222,111.54,,-8.74,-3.48,-26.20,,66.76,0.05,,-23.65
-221,112.84,,-5.39,6.35,-21.68,,-34.45,0.07,,-25.08
-220,113.05,,-3.33,8.02,-28.02,,-16.43,0.05,,-30.58
-219,108.89,,-5.80,6.92,-21.93,,-13.37,0.03,,-24.75
-218,113.75,,-1.52,15.48,-24.60,,25.05,0.03,,-27.16
-217,112.74,,-3.42,11.02,-23.42,,-2.43,0.08,,-22.83
-216,113.87,,-2.23,11.82,-29.21,,7.40,0.07,,-30.02
-215,111.75,,-5.78,15.64,-20.38,,-28.57,0.12,,-23.57
-214,110.38,,-9.31,16.49,-26.55,,20.02,0.03,,-27.37
-213,110.99,,-1.72,17.28,-21.25,,14.15,0.03,,-22.75
-212,110.16,,-6.44,15.48,-23.40,,5.58,0.05,,-26.44
-211,110.85,,-7.44,24.30,-24.42,,0.17,0.05,,-23.61
-210,106.14,,-11.79,17.70,-22.38,,-12.68,0.23,,-22.14
-209,110.50,,-5.51,20.14,-23.06,,31.10,0.03,,-22.79
-208,106.46,,-2.42,22.41,-20.07,,13.79,0.22,,-21.92
-207,106.42,,-4.79,19.98,-22.94,,10.32,0.10,,-22.43
-206,107.97,,2.53,2.55,-22.47,,5.41,0.15,,-23.58
-205,109.49,,-6.81,0.59,-21.86,,-5.71,0.07,,-26.94
-204,106.02,,-3.61,10.58,-22.47,,-6.39,1.42,,-27.54
-203,105.48,,-4.03,14.35,-17.78,,-14.06,0.37,,-19.62
-202,113.32,,2.91,13.12,-23.27,,-14.45,0.33,,-23.00
-201,110.67,,1.30,12.84,-18.23,,,0.03,,-20.21
-200,114.20,,-4.13,24.54,-17.53,,,,,-19.65
-199,113.22,,-4.81,20.64,-20.40,,,,,-22.52
-198,114.96,,-6.31,25.74,-20.01,,,,,-18.41
-197,112.85,,0.44,24.68,-17.11,,,,,-21.28
-196,114.02,,0.75,23.38,-16.95,,,,,-18.92
-195,121.97,,9.65,25.85,-17.00,,,,,-19.33
-194,126.20,,8.68,27.66,-18.01,,,,,-20.25
-193,124.34,,17.11,19.62,-17.82,,,,,-18.05
-192,126.14,,13.64,15.76,-18.16,,,,,-20.56
-191,128.56,,15.56,12.24,-18.93,,,,,-19.17
-190,128.49,,14.41,6.54,-17.04,,,,,-19.44
-189,125.97,,10.82,-0.90,-16.27,,,,,-18.67
-188,122.39,,18.27,-7.85,-15.63,,,,,-16.66
