data/BP_videos/17.MOV
Frame number,Hips height,Hips velocity loss,Left ankle height,Right ankle height,Shoulders tilt,Shoulders velocity loss,Step angle,Step duration,Takeoff angle,Torso tilt
-324,227.93,199.48,155.93,155.93,6.17,199.47,-8.61,0.05,-1.53,5.56
-323,227.92,,160.33,162.70,2.86,,-9.23,0.07,,1.71
-322,228.93,,154.62,162.37,6.46,,16.51,0.03,,5.31
-321,228.90,,157.31,159.74,8.06,,15.29,0.03,,2.35
-320,228.94,,158.37,166.32,-0.17,,-2.69,0.03,,-0.17
-319,226.93,,150.99,158.87,6.51,,27.11,0.03,,5.36
-318,226.68,,152.80,164.69,7.77,,15.75,0.05,,1.23
-317,230.82,,160.80,168.61,48.51,,-12.79,0.03,,5.78
-316,227.02,,155.44,165.65,2.11,,10.70,0.05,,1.16
-315,230.90,,151.03,159.42,7.42,,-2.83,0.07,,6.03
-314,226.05,,154.05,164.77,1.78,,4.07,0.10,,0.83
-313,231.76,,152.73,161.44,51.46,,8.65,0.07,,6.46
-312,229.64,,161.53,164.55,2.18,,-2.50,0.03,,1.01
-311,225.94,,161.64,154.25,6.58,,-13.32,0.07,,5.64
-310,229.96,,158.83,157.22,8.65,,26.69,0.13,,8.02
-309,228.94,,157.40,146.93,6.98,,10.62,0.03,,6.98
-308,227.60,,163.24,166.53,6.47,,0.03,0.12,,9.19
-307,231.11,,154.51,165.48,1.67,,-16.85,0.03,,0.53
-306,230.93,,161.09,168.42,45.84,,-27.11,0.05,,0.84
-305,230.87,,160.52,161.09,11.69,,22.15,0.03,,4.87
-304,230.13,,158.83,149.28,3.66,,20.28,0.05,,3.02
-303,230.92,,150.58,164.98,5.47,,10.53,0.03,,4.32
-302,226.98,,144.82,164.65,3.17,,2.16,0.05,,2.23
-301,230.86,,159.75,160.47,59.21,,4.06,0.05,,4.66
-300,227.50,,155.95,165.19,3.18,,-7.81,0.05,,3.18
-299,226.42,,144.38,158.80,5.18,,30.22,0.12,,4.06
-298,226.59,,153.54,155.11,4.08,,24.28,0.05,,3.45
-297,225.84,,163.38,154.59,4.49,,12.14,0.03,,4.49
-296,226.09,,154.21,163.69,55.38,,7.83,0.03,,3.49
-295,228.85,,157.61,144.82,62.50,,-1.27,0.05,,4.49
-294,229.09,,157.21,158.83,4.93,,-0.69,0.05,,3.49
-293,227.84,,156.60,157.51,62.50,,-5.59,0.12,,4.49
-292,223.68,,155.74,157.35,3.49,,-12.14,0.12,,2.96
-291,222.37,,151.19,159.83,4.70,,-17.38,0.05,,3.74
-290,222.08,,150.13,159.73,-2.53,,-22.54,0.05,,-8.24
-289,220.37,,150.48,136.86,57.95,,-19.41,0.08,,-5.20
-288,219.49,,149.05,156.21,6.82,,13.89,0.03,,6.82
-287,222.75,,151.74,149.91,-3.72,,-15.55,0.05,,-3.09
-286,221.05,,151.39,153.84,2.38,,-17.97,0.30,,2.38
-285,219.26,,148.18,154.46,-3.26,,51.16,0.03,,-3.26
-284,220.42,,151.48,154.72,-3.32,,52.61,0.22,,-3.32
-283,218.86,,148.54,152.24,0.38,,52.69,0.03,,0.38
-282,220.11,,151.11,155.80,-1.28,,50.90,0.22,,-12.44
-281,213.92,,151.61,155.20,1.07,,51.65,0.07,,1.50
-280,214.24,,151.44,149.24,-11.82,,-15.44,0.05,,-10.62
-279,219.15,,150.42,149.87,-11.88,,47.72,0.15,,-9.72
-278,220.08,,151.79,153.77,-9.96,,-16.40,0.07,,-8.23
-277,214.73,,149.40,151.13,-15.08,,48.24,0.07,,-15.56
-276,215.61,,148.60,154.72,-13.07,,45.43,0.05,,-13.07
-275,213.46,,145.13,151.68,-13.50,,-14.91,0.10,,-17.90
-274,212.63,,144.45,150.83,-17.04,,-14.86,1.80,,-17.04
-273,213.44,,144.95,151.78,-19.32,,,0.03,,-18.28
-272,213.55,,145.54,151.64,-22.53,,,,,-16.66
-271,213.25,,146.12,154.03,-19.40,,,,,-23.80
-270,211.81,,153.77,155.33,-22.26,,,,,-22.26
-269,209.14,,146.23,155.94,-21.48,,,,,-18.18
-268,210.19,,149.87,153.54,-25.09,,,,,-28.91
-267,209.52,,147.96,156.53,-24.31,,,,,-28.62
-266,208.55,,147.20,148.18,-24.51,,,,,-20.69
-265,209.05,,154.59,147.71,-27.27,,,,,-23.46
-264,210.86,,154.07,148.35,-22.02,,,,,-26.41
-263,208.71,,154.85,145.93,-20.21,,,,,-20.21
-262,211.42,,149.77,144.83,-29.06,,,,,-29.06
-261,214.38,,147.96,156.88,-29.70,,,,,-24.61
-260,211.71,,157.72,144.97,-26.46,,,,,-33.37
-259,212.84,,151.64,160.36,-36.90,,,,,-31.86
-258,210.09,,144.13,163.86,-23.16,,,,,-30.98
-257,208.81,,142.80,168.35,-23.58,,,,,-26.32
-256,210.14,,166.43,148.11,-32.80,,,,,-28.64
-255,206.67,,140.47,147.65,-23.11,,,,,-25.84
