data/BP_videos/3.MOV
Frame number,Hips height,Hips velocity loss,Left ankle height,Right ankle height,Shoulders tilt,Shoulders velocity loss,Step angle,Step duration,Takeoff angle,Torso tilt
-227,129.81,6.95,43.05,58.83,-26.73,8.11,20.76,0.05,14.78,-26.73
-226,129.99,,38.91,61.14,-29.67,,-12.37,0.03,,-27.00
-225,131.43,,47.49,66.04,-30.20,,-5.92,0.03,,-26.85
-224,137.84,,48.94,67.11,-32.32,,-1.69,0.05,,-31.47
-223,138.73,,46.96,69.79,-25.18,,4.12,0.07,,-24.38
-222,138.71,,51.87,69.65,-29.43,,13.23,0.07,,-26.09
-221,137.34,,40.76,73.28,-25.49,,-13.46,0.03,,-23.00
-220,141.45,,51.63,77.87,-25.01,,-17.00,0.22,,-25.01
-219,138.07,,45.78,82.76,-23.51,,-16.68,0.07,,-21.23
-218,143.36,,48.89,88.26,-27.51,,-7.58,0.10,,-27.28
-217,143.04,,52.91,52.91,-28.33,,-5.43,0.13,,-26.04
-216,139.83,,93.34,45.98,-21.65,,1.83,0.03,,-24.38
-215,140.53,,52.96,52.96,-21.77,,3.05,0.05,,-19.53
-214,140.03,,51.64,96.96,-23.01,,8.91,0.07,,-20.54
-213,140.50,,51.92,91.12,-25.53,,8.70,0.45,,-23.26
-212,140.90,,52.23,112.38,-22.99,,13.12,0.07,,-20.69
-211,142.55,,57.57,97.68,-24.14,,14.32,0.03,,-26.63
-210,140.77,,53.36,100.82,-19.62,,16.02,0.07,,-19.98
-209,145.35,,53.95,102.83,-20.13,,18.80,0.03,,-20.85
-208,142.63,,54.83,103.72,-20.45,,21.34,0.07,,-20.96
-207,145.92,,59.49,100.38,-13.84,,21.56,0.12,,-14.88
-206,144.48,,49.56,96.56,-13.43,,22.11,0.07,,-14.76
-205,147.12,,89.08,57.55,-16.62,,16.08,0.03,,-17.67
-204,144.04,,66.06,84.69,-9.28,,16.01,0.03,,-10.65
-203,150.91,,64.13,87.87,-13.52,,16.28,0.08,,-16.34
-202,153.29,,74.45,82.05,-6.50,,13.90,0.08,,-6.50
-201,152.02,,67.53,67.50,-8.26,,13.02,0.03,,-9.33
-200,151.30,,71.92,69.90,-8.65,,22.65,0.05,,-9.35
-199,153.15,,76.14,63.28,-12.60,,1.24,0.05,,-12.94
-198,155.08,,69.35,58.88,-12.49,,10.79,0.03,,-13.81
-197,152.33,,76.54,56.44,-11.63,,-4.23,0.07,,-11.81
-196,150.23,,71.32,53.33,-11.23,,7.25,0.07,,-14.63
-195,147.49,,69.70,43.57,-16.00,,-13.09,0.07,,-15.62
-194,146.39,,74.18,38.31,-13.72,,-20.61,0.05,,-12.35
-193,139.61,,72.20,32.76,-15.28,,31.22,0.07,,-13.77
-192,132.69,,70.76,35.72,-19.92,,29.66,0.05,,-16.70
-191,130.30,,64.72,35.48,-12.61,,25.16,0.05,,-15.08
-190,131.62,,69.44,36.46,-21.21,,25.61,0.07,,-17.67
-189,127.87,,65.86,30.97,-15.21,,-1.78,0.08,,-14.91
-188,127.54,,66.42,33.37,-17.85,,19.18,0.03,,-18.75
-187,128.52,,63.47,36.06,-19.61,,6.57,0.12,,-18.79
-186,128.76,,65.71,37.29,-18.80,,-1.09,0.03,,-17.14
-185,129.17,,65.87,39.44,-15.50,,14.47,0.07,,-13.33
-184,132.11,,63.04,41.55,-16.44,,2.27,0.05,,-16.44
-183,131.21,,58.91,41.07,-15.02,,-19.02,0.10,,-16.22
-182,135.88,,59.60,49.27,-14.28,,37.61,0.03,,-15.65
-181,134.99,,51.23,57.24,-10.72,,37.30,0.03,,-13.70
-180,139.04,,48.31,63.53,-14.17,,30.72,0.07,,-14.50
-179,135.68,,35.43,74.73,-11.08,,22.37,0.13,,-11.63
-178,132.79,,31.02,74.94,-12.99,,14.37,0.05,,-13.54
-177,135.65,,27.61,84.80,-15.33,,8.64,0.05,,-14.35
-176,136.72,,22.63,90.96,-14.98,,2.44,0.08,,-15.13
-175,132.18,,10.55,84.80,-16.01,,-5.03,0.05,,-16.01
-174,135.78,,14.51,22.25,-10.97,,-10.50,,,-14.38
-173,126.58,,7.81,15.66,-16.35,,,,,-13.98
-172,120.90,,12.61,58.89,-13.82,,,,,-13.69
-171,121.57,,13.09,72.80,-16.18,,,,,-13.63
-170,124.15,,8.81,75.55,-14.14,,,,,-16.63
-169,125.54,,17.86,75.10,-11.06,,,,,-11.21
-168,125.26,,18.17,64.10,-10.22,,,,,-9.28
-167,127.71,,17.71,59.37,-11.12,,,,,-9.16
-166,128.79,,17.19,53.41,-10.89,,,,,-8.96
-165,133.34,,28.53,50.48,-12.03,,,,,-10.29
-164,133.82,,30.11,41.52,-7.40,,,,,-6.20
-163,136.22,,47.96,38.96,-6.33,,,,,-5.11
-162,131.97,,52.98,32.29,-5.05,,,,,-4.11
-161,139.42,,59.89,30.04,-2.74,,,,,-5.09
-160,133.55,,65.42,16.49,-6.27,,,,,-5.34
-159,129.62,,71.14,10.75,-6.64,,,,,-5.45
-158,126.69,,75.85,8.68,-5.44,,,,,-4.68
-157,121.96,,80.34,3.12,-6.32,,,,,-2.96
-156,126.05,,84.14,7.68,-6.83,,,,,-8.32
-155,125.10,,84.11,6.41,-9.89,,,,,-12.60
-154,121.68,,72.22,8.91,-7.62,,,,,-3.89
-153,116.89,,69.03,3.27,-9.83,,,,,-8.60
-152,121.19,,58.84,7.34,-6.63,,,,,-8.13
-151,122.36,,44.39,7.07,-4.33,,,,,-3.56
-150,125.20,,38.66,13.20,-1.71,,,,,-6.61
-149,126.23,,24.50,23.25,-5.17,,,,,-9.85
-148,123.89,,11.27,20.70,-0.64,,,,,-5.83
-147,120.65,,9.32,23.83,-38.16,,,,,-1.92
-146,122.03,,5.34,42.02,-36.73,,,,,-4.10
-145,128.42,,-3.00,49.32,53.79,,,,,10.55
-144,117.51,,-10.14,-10.52,-54.09,,,,,-48.62
-143,115.50,,-13.27,-38.68,-25.41,,,,,-45.83
-142,116.38,,-14.74,-46.09,-33.90,,,,,-28.52
-141,119.96,,-9.39,-47.13,-47.37,,,,,-42.85
-140,117.29,,-24.20,-48.36,-27.38,,,,,-24.51
-139,117.24,,-28.25,-59.76,-42.29,,,,,-36.31
-138,107.76,,-9.08,-48.04,1.40,,,,,1.00
-137,121.72,,-26.92,-48.02,-17.23,,,,,-9.90
-136,110.28,,-24.02,-50.97,-0.79,,,,,0.08
-135,101.85,,-35.84,-56.12,2.47,,,,,-1.58
-134,107.19,,-28.81,-54.12,-3.57,,,,,-4.57
-133,100.21,,-30.81,-58.30,-3.87,,,,,-1.38
-132,97.03,,-30.98,-54.46,-6.08,,,,,-4.03
-131,94.54,,-35.69,-51.87,-4.65,,,,,-2.00
-130,93.45,,-31.70,-51.32,-8.20,,,,,-4.82
-129,99.14,,102.06,-55.50,1.17,,,,,-5.89
-128,99.30,,-39.25,-46.34,-2.98,,,,,-1.54
-127,95.36,,-42.89,-49.86,-4.36,,,,,-7.54
-126,102.98,,118.90,-48.12,-10.35,,,,,-4.41
-125,97.50,,121.44,-38.21,-7.15,,,,,-4.10
-124,110.31,,132.47,-31.18,-6.80,,,,,-5.30
-123,103.35,,-35.18,-31.64,-8.18,,,,,-7.41
-122,108.89,,137.32,-13.93,-3.05,,,,,-4.73
-121,106.98,,138.27,-10.36,-6.93,,,,,-2.85
-120,110.71,,148.57,-3.49,-7.65,,,,,-6.98
-119,114.89,,149.73,-10.55,-6.43,,,,,-7.12
-118,120.23,,-30.81,-2.89,-8.78,,,,,-6.56
-117,111.68,,-37.64,-7.97,-4.71,,,,,-6.18
-116,114.07,,-38.46,156.33,-7.32,,,,,-5.84
-115,116.50,,-36.84,-5.28,-5.12,,,,,-6.13
-114,112.38,,60.07,167.21,-7.42,,,,,-8.45
-113,162.79,,-34.79,169.62,35.19,,,,,33.24
-112,160.22,,-39.88,-12.18,39.90,,,,,33.78
-111,164.61,,-34.79,171.97,37.92,,,,,31.10
-110,117.67,,-43.80,173.95,-8.19,,,,,-6.50
-109,124.57,,-32.23,-4.47,-6.43,,,,,-7.67
-108,168.61,,-36.23,186.09,42.56,,,,,36.97
-107,169.26,,-32.34,-12.34,43.72,,,,,40.43
-106,169.57,,73.14,187.11,42.81,,,,,37.84
-105,162.99,,-33.03,186.71,44.31,,,,,38.16
-104,164.29,,-33.41,194.03,47.49,,,,,40.89
-103,115.93,,-36.93,-15.49,-5.79,,,,,-4.80
-102,226.65,,-27.11,200.25,-81.09,,,,,-84.97
-101,227.08,,192.19,192.19,75.92,,,,,-84.11
-100,221.54,,193.30,193.30,72.83,,,,,45.22
-99,170.07,,80.76,201.78,53.45,,,,,49.43
-98,169.41,,-20.02,-8.23,55.79,,,,,46.92
-97,166.97,,-16.89,-17.16,56.81,,,,,49.91
-96,113.86,,-28.72,-12.80,-2.58,,,,,-2.39
-95,164.09,,84.75,-15.46,51.96,,,,,47.80
-94,113.20,,-29.39,-14.86,-1.01,,,,,-3.85
-93,119.05,,-30.22,-14.47,-3.29,,,,,-4.75
-92,118.94,,-21.77,207.81,-2.37,,,,,-4.66
-91,116.80,,84.45,-15.71,-2.62,,,,,-4.05
-90,121.81,,-24.03,198.58,-0.06,,,,,-1.52
-89,126.56,,87.19,-5.80,-2.71,,,,,-8.70
-88,123.10,,-22.83,192.45,-4.77,,,,,-5.77
-87,129.11,,-14.90,197.98,-4.89,,,,,-5.90
-86,126.22,,85.31,-11.79,-18.36,,,,,-3.03
-85,128.27,,-14.62,192.68,-20.87,,,,,-6.75
-84,123.42,,-22.20,184.38,-8.67,,,,,-10.05
-83,125.40,,-16.15,180.13,-4.41,,,,,-7.32
-82,128.46,,-14.22,176.15,-22.86,,,,,-10.95
-81,124.76,,-10.61,-14.15,-8.70,,,,,-10.51
-80,125.33,,-15.54,173.23,-6.73,,,,,-5.93
-79,127.59,,-7.80,167.78,-6.71,,,,,-5.96
-78,124.20,,85.83,162.26,-24.18,,,,,-10.55
-77,128.15,,-12.05,165.19,-23.92,,,,,-10.56
-76,127.95,,-15.01,159.15,-22.59,,,,,-32.05
-75,125.20,,-13.79,158.40,-22.30,,,,,-31.88
-74,131.26,,-16.23,-7.21,-25.56,,,,,-9.89
-73,126.86,,-20.18,150.60,-26.82,,,,,-31.81
-72,129.21,,-14.22,152.86,-25.77,,,,,-11.02
-71,167.40,,-12.80,148.06,-3.47,,,,,-21.81
-70,124.09,,-17.73,-10.26,-26.34,,,,,-34.87
-69,123.49,,-19.12,143.69,-25.95,,,,,-35.14
-68,125.48,,-15.13,146.54,-28.04,,,,,-12.88
-67,126.57,,-15.49,136.15,-10.94,,,,,-15.04
-66,128.33,,-23.65,138.91,-28.52,,,,,-34.96
-65,131.92,,-15.55,138.15,-30.03,,,,,-36.93
-64,130.60,,-18.34,138.04,-30.85,,,,,-15.22
-63,128.11,,-25.61,-6.62,-29.28,,,,,-17.01
-62,129.89,,-20.98,133.44,-29.69,,,,,-36.17
-61,127.38,,-22.51,-5.09,-31.67,,,,,-36.51
-60,129.10,,-22.12,-6.26,-30.64,,,,,-15.26
-59,130.12,,-22.02,-5.95,-16.34,,,,,-18.79
-58,127.47,,-15.54,-0.08,-13.78,,,,,-16.72
-57,134.56,,131.59,-2.38,-17.10,,,,,-19.56
-56,161.07,,125.42,-3.07,34.94,,,,,28.04
-55,123.73,,-25.30,124.97,-27.21,,,,,-15.31
-54,130.65,,-26.42,128.92,-16.04,,,,,-18.49
-53,131.22,,-24.26,-14.12,-15.55,,,,,-17.55
-52,128.75,,-26.52,-8.87,-16.09,,,,,-36.93
-51,132.98,,-21.16,-5.99,-31.04,,,,,-17.46
-50,129.33,,-14.63,125.22,-14.08,,,,,-15.50
-49,128.17,,-18.49,124.11,-13.06,,,,,-19.11
-48,130.91,,-20.00,126.68,-14.03,,,,,-11.50
-47,128.38,,-18.90,123.10,-34.96,,,,,-14.90
-46,130.84,,-20.54,2.79,-26.98,,,,,-16.26
-45,127.37,,-20.75,124.72,-35.39,,,,,-13.74
-44,130.88,,73.35,125.97,-26.48,,,,,-14.54
-43,130.71,,-22.20,125.47,-8.45,,,,,-12.88
-42,132.69,,-19.56,126.07,-10.08,,,,,-11.16
-41,132.98,,-22.55,126.24,-27.53,,,,,-13.62
-40,133.16,,-21.71,3.06,-13.44,,,,,-16.65
