data/BP_videos/9.MOV
Frame number,Hips height,Hips velocity loss,Left ankle height,Right ankle height,Shoulders tilt,Shoulders velocity loss,Step angle,Step duration,Takeoff angle,Torso tilt
-78,143.76,118.33,33.27,56.95,-22.12,137.49,10.05,0.05,-52.60,-23.95
-77,144.71,,41.98,45.32,-20.38,,-33.55,0.03,,-24.19
-76,142.47,,37.50,40.64,-21.55,,19.23,0.05,,-24.95
-75,146.34,,41.58,54.97,-19.23,,2.39,0.03,,-23.05
-74,141.85,,38.27,49.72,-21.72,,20.25,0.07,,-26.80
-73,144.96,,37.70,48.32,-25.37,,7.13,0.27,,-24.43
-72,148.15,,43.03,55.58,-21.50,,28.34,0.17,,-20.56
-71,152.10,,39.03,56.05,-22.55,,35.26,0.07,,-20.27
-70,150.48,,42.46,59.32,-19.26,,35.21,0.22,,-23.05
-69,150.59,,41.41,69.05,-20.66,,32.93,0.07,,-20.39
-68,149.37,,36.69,69.74,-20.45,,27.01,0.07,,-18.33
-67,153.95,,46.78,73.85,-18.91,,19.10,0.18,,-20.89
-66,157.26,,44.57,69.82,-17.46,,17.96,,,-17.77
-65,158.44,,53.93,66.01,-15.23,,,,,-15.67
-64,160.67,,58.50,66.94,-14.02,,,,,-16.24
-63,164.02,,59.01,58.51,-17.50,,,,,-19.61
-62,159.85,,48.37,53.99,-15.75,,,,,-16.18
-61,167.51,,60.66,56.59,-15.13,,,,,-21.47
-60,162.04,,60.45,49.46,-15.94,,,,,-19.96
-59,163.46,,63.13,39.66,-15.39,,,,,-16.10
-58,159.87,,59.74,45.13,-15.76,,,,,-19.73
-57,160.60,,60.13,32.02,-16.15,,,,,-16.62
-56,159.86,,65.58,30.76,-15.17,,,,,-15.88
-55,155.08,,65.20,31.26,-13.67,,,,,-16.36
-54,149.66,,66.82,28.62,-16.55,,,,,-18.49
-53,148.79,,64.66,15.15,-20.67,,,,,-22.30
-52,147.39,,59.61,63.51,-21.34,,,,,-22.97
-51,144.22,,56.45,25.70,-18.32,,,,,-23.53
-50,144.36,,59.12,18.14,-23.89,,,,,-25.27
-49,145.11,,57.27,23.65,-26.58,,,,,-23.92
-48,142.41,,50.87,19.66,-22.56,,,,,-22.11
-47,140.49,,53.48,16.58,-21.50,,,,,-18.13
-46,141.73,,45.83,17.24,-19.69,,,,,-21.77
-45,146.65,,42.40,26.39,-18.85,,,,,-20.93
-44,149.75,,45.14,38.46,-17.60,,,,,-20.14
-43,151.67,,41.57,39.25,-22.42,,,,,-22.63
-42,151.13,,38.48,45.83,-16.33,,,,,-18.49
-41,151.48,,25.98,44.32,-19.59,,,,,-21.74
-40,150.71,,23.04,48.33,-17.56,,,,,-16.72
-39,147.93,,13.35,52.14,-13.35,,,,,-16.51
-38,147.23,,9.81,56.73,-14.65,,,,,-15.96
-37,146.01,,3.43,60.62,-13.15,,,,,-15.87
-36,145.69,,-1.85,55.47,-13.74,,,,,-14.91
-35,140.09,,0.54,53.25,-14.08,,,,,-13.39
-34,149.10,,1.19,57.43,-13.19,,,,,-16.81
-33,147.83,,4.88,49.31,-17.18,,,,,-15.99
-32,147.24,,0.12,54.44,-16.39,,,,,-18.72
-31,139.82,,3.29,51.85,-13.54,,,,,-15.99
-30,149.11,,10.40,45.66,-18.59,,,,,-18.16
-29,147.50,,16.82,47.51,-13.63,,,,,-14.66
-28,144.59,,17.41,44.14,-11.62,,,,,-15.28
-27,153.20,,22.01,46.38,-11.90,,,,,-13.41
-26,156.54,,28.12,39.70,-9.49,,,,,-11.54
-25,156.50,,42.84,29.43,-7.48,,,,,-7.88
-24,155.18,,39.90,24.09,-6.92,,,,,-10.69
-23,155.13,,50.33,21.72,-4.48,,,,,-6.61
-22,149.49,,50.42,10.73,-4.28,,,,,-9.98
-21,149.03,,54.27,5.50,-3.16,,,,,-7.59
-20,148.05,,59.90,5.32,-6.35,,,,,-6.80
-19,147.71,,57.20,-3.40,-8.39,,,,,-8.39
-18,147.49,,53.52,-2.37,-7.03,,,,,-9.15
-17,147.21,,49.34,44.63,-12.80,,,,,-14.18
-16,141.98,,38.10,3.18,-9.26,,,,,-13.24
-15,139.88,,27.07,0.76,-8.68,,,,,-12.06
-14,145.56,,24.62,6.11,-9.57,,,,,-11.00
-13,147.62,,22.16,15.41,-6.86,,,,,-9.47
-12,150.99,,19.89,25.61,-3.63,,,,,-7.10
-11,147.98,,11.93,91.83,-2.09,,,,,-2.28
-10,173.15,,86.39,90.02,58.29,,,,,66.63
-9,171.49,,79.02,89.73,-1.23,,,,,-2.81
-8,169.42,,78.11,81.74,0.18,,,,,60.91
-7,164.11,,88.11,94.58,-40.57,,,,,-40.78
-6,182.71,,94.38,100.99,3.32,,,,,1.97
-5,180.56,,86.39,100.54,2.81,,,,,2.81
-4,157.54,,83.44,90.10,-29.05,,,,,-27.69
-3,175.51,,81.07,81.07,26.11,,,,,45.73
-2,158.92,,85.02,92.78,-8.21,,,,,17.35
-1,156.82,,13.15,96.83,-3.23,,,,,-4.01
0,163.64,,0.00,102.67,-4.31,,,,,-2.93
1,168.97,,3.84,95.40,-1.45,,,,,-2.42
2,167.51,,11.26,99.68,-2.99,,,,,-2.03
3,177.00,,19.57,103.15,-2.14,,,,,-1.80
4,184.81,,29.80,108.44,-1.34,,,,,-3.16
5,168.85,,46.65,111.24,-4.02,,,,,-14.81
6,169.74,,53.43,114.79,0.21,,,,,-17.83
7,171.84,,107.59,120.68,2.31,,,,,2.31
8,172.89,,84.28,84.28,6.54,,,,,2.45
9,172.96,,93.34,93.72,6.83,,,,,2.74
10,172.89,,92.86,93.20,6.57,,,,,2.45
11,171.78,,76.06,100.23,2.78,,,,,-0.80
12,172.56,,85.59,94.05,0.90,,,,,-2.14
13,172.29,,89.23,105.50,0.92,,,,,-2.27
14,174.45,,86.32,94.78,0.15,,,,,4.54
15,172.38,,85.67,93.63,4.70,,,,,0.65
16,171.31,,83.34,92.29,0.02,,,,,-2.99
17,170.38,,83.67,91.72,4.74,,,,,0.65
18,171.03,,83.28,84.43,-4.78,,,,,0.48
19,172.26,,85.11,86.65,-0.30,,,,,-3.34
20,170.94,,79.97,83.51,2.23,,,,,-0.42
21,175.22,,87.86,89.83,3.53,,,,,-0.14
22,176.26,,87.86,90.43,-0.58,,,,,-3.29
23,173.13,,88.25,92.63,2.36,,,,,-0.27
24,174.13,,86.62,89.42,-0.66,,,,,-3.70
25,177.90,,87.74,85.66,1.68,,,,,-1.03
26,175.45,,90.80,86.36,0.13,,,,,-2.47
27,177.69,,87.73,85.28,1.20,,,,,-1.52
28,174.03,,88.49,85.80,0.62,,,,,-2.01
29,178.62,,88.90,86.02,0.77,,,,,-1.96
30,175.73,,89.96,87.02,-2.92,,,,,-1.51
31,176.51,,87.10,83.68,0.59,,,,,-2.42
32,174.80,,88.70,87.05,-2.62,,,,,-1.19
33,172.01,,86.67,82.99,0.32,,,,,-2.28
34,176.64,,86.04,91.23,1.01,,,,,-1.71
35,174.67,,88.34,85.20,0.81,,,,,-1.82
36,177.54,,87.18,84.19,0.50,,,,,-2.27
37,175.84,,89.09,85.79,1.10,,,,,-2.09
38,173.39,,85.99,81.66,0.28,,,,,-2.35
39,175.74,,88.78,86.38,1.32,,,,,-1.37
40,173.84,,91.64,87.62,0.52,,,,,-2.52
41,173.61,,85.17,81.26,0.77,,,,,-2.73
42,177.24,,90.79,87.06,-3.12,,,,,-1.70
