data/BP_videos/4.MOV
Frame number,Hips height,Hips velocity loss,Left ankle height,Right ankle height,Shoulders tilt,Shoulders velocity loss,Step angle,Step duration,Takeoff angle,Torso tilt
-41,,,,,,,-19.95,,-91.85,
-40,,,,,,,,,,
-39,,,,,,,,,,
-38,,,,,,,,,,
-37,,,,,,,,,,
-36,,,,,,,,,,
-35,,,,,,,,,,
-34,,,,,,,,,,
-33,,,,,,,,,,
-32,,,,,,,,,,
-31,,,,,,,,,,
-30,,,,,,,,,,
-29,,,,,,,,,,
-28,,,,,,,,,,
-27,,,,,,,,,,
-26,,,,,,,,,,
-25,,,,,,,,,,
-24,,,,,,,,,,
-23,,,,,,,,,,
-22,,,,,,,,,,
-21,,,,,,,,,,
-20,,,,,,,,,,
-19,,,,,,,,,,
-18,,,,,,,,,,
-17,,,,,,,,,,
-16,,,,,,,,,,
-15,,,,,,,,,,
-14,,,,,,,,,,
-13,,,,,,,,,,
-12,,,,,,,,,,
-11,,,,,,,,,,
-10,,,,,,,,,,
-9,,,,,,,,,,
-8,,,,,,,,,,
-7,,,,,,,,,,
-6,,,,,,,,,,
-5,,,,,,,,,,
-4,,,,,,,,,,
-3,,,,,,,,,,
-2,,,,,,,,,,
-1,152.11,,33.99,33.99,-8.93,,,,,-10.25
0,124.57,,0.00,7.10,-6.03,,,,,-7.95
1,144.26,,23.26,25.54,-9.20,,,,,-12.17
2,146.59,,26.63,29.69,-9.88,,,,,-10.87
3,159.08,,40.90,39.59,-7.19,,,,,-9.04
4,160.34,,35.64,36.56,-6.79,,,,,-14.00
5,155.61,,37.55,39.24,-8.75,,,,,-12.99
6,150.15,,32.81,30.32,-11.70,,,,,-12.61
7,161.26,,37.53,43.65,-7.69,,,,,-9.56
8,160.35,,39.06,39.33,-10.80,,,,,-16.97
9,156.46,,30.64,32.84,-5.30,,,,,-9.40
10,161.05,,40.55,40.55,-11.50,,,,,-12.41
11,158.95,,32.13,36.99,-12.14,,,,,-14.19
12,158.13,,30.65,36.16,-11.97,,,,,-15.50
